h3_9,lat,lon,nearest_highway,road_criticality,hospital,market,retail,school,transit,n_poi,osm_context
8960145900fffff,13.048213491764706,77.54299541294118,tertiary,0.45,0.0,0.0,0.0,1.0,0.0,1,"tertiary road, 1 school"
8960145b603ffff,13.001209824271845,77.5954467776699,residential,0.25,0.0,0.0,0.0,0.0,2.0,2,"residential road, 2 transit"
8961892e863ffff,13.001065849999998,77.62761148333333,primary,0.8,0.0,0.0,0.0,0.0,2.0,2,"primary road, 2 transit"
896014583c3ffff,13.009896726923076,77.50619783846153,secondary,0.6,0.0,0.0,0.0,0.0,1.0,1,"secondary road, 1 transit"
8961892e683ffff,12.993071576623375,77.71708385324675,secondary,0.6,0.0,0.0,0.0,1.0,0.0,1,"secondary road, 1 school"
8961892e963ffff,12.99360561355932,77.60792262033898,secondary,0.6,0.0,0.0,0.0,0.0,0.0,0,secondary road
89618926b1bffff,12.852245166666668,77.58824691666666,primary,0.8,0.0,0.0,0.0,1.0,1.0,2,"primary road, 1 school, 1 transit"
89601459007ffff,13.0459503,77.54184188,residential,0.25,0.0,0.0,0.0,1.0,0.0,1,"residential road, 1 school"
896189219bbffff,12.98001085,77.7274463,secondary,0.6,1.0,0.0,0.0,0.0,0.0,1,"secondary road, 1 hospital"
89618924e83ffff,12.888516714285714,77.59738347142857,primary,0.8,0.0,0.0,0.0,0.0,0.0,0,primary road
8961892e44bffff,12.989496465714286,77.71253794285714,primary,0.8,0.0,0.0,0.0,0.0,1.0,1,"primary road, 1 transit"
8961892cb2fffff,13.062934263157894,77.57662792105263,residential,0.25,0.0,0.0,0.0,0.0,0.0,0,residential road
89618920e97ffff,12.937838366666668,77.74603976666667,residential,0.25,0.0,0.0,0.0,0.0,1.0,1,"residential road, 1 transit"
8961892e957ffff,12.99068816470588,77.6146570117647,secondary,0.6,0.0,0.0,0.0,0.0,2.0,2,"secondary road, 2 transit"
8961892dd57ffff,13.0794720625,77.6339695375,primary,0.8,0.0,0.0,0.0,0.0,1.0,1,"primary road, 1 transit"
8960145a6b7ffff,12.93727615,77.558515575,secondary,0.6,0.0,0.0,0.0,2.0,0.0,2,"secondary road, 2 school"
8961892ec8bffff,12.974704518181818,77.65450890909091,residential,0.25,0.0,0.0,0.0,1.0,0.0,1,"residential road, 1 school"
8961892cb7bffff,13.070326850995732,77.58745800327169,tertiary,0.45,0.0,0.0,0.0,0.0,0.0,0,tertiary road
8961892e95bffff,12.994911525,77.618501175,tertiary,0.45,0.0,0.0,0.0,2.0,0.0,2,"tertiary road, 2 school"
896014590c7ffff,13.04577365,77.54978046666666,residential,0.25,0.0,0.0,0.0,2.0,0.0,2,"residential road, 2 school"
89618924e8bffff,12.892541404347828,77.59865405652174,primary,0.8,0.0,0.0,4.0,0.0,1.0,5,"primary road, 4 retail, 1 transit"
896189243c3ffff,12.902958675,77.62431185,tertiary,0.45,0.0,0.0,0.0,0.0,0.0,0,tertiary road
89601458467ffff,12.98525591325208,77.52425270651302,primary,0.8,0.0,0.0,0.0,0.0,0.0,0,primary road
8961892c3bbffff,13.053223644444444,77.64616407777777,primary,0.8,0.0,0.0,0.0,0.0,1.0,1,"primary road, 1 transit"
